branch_code,time_block,tree,treatment,arachnids,lepidoptera,diptera,coleoptera,hymenoptera,hemiptera,aquatics,gastropods,orthopterids
HS9B,2,Honeysuckle,bag,6,3,0,6,1,8,1,0,0
WH10C,2,Witch-hazel,control,1,1,0,4,0,0,1,0,0
MW10B,2,Musclewood,bag,2,0,1,4,1,0,6,0,0
MW10C,2,Musclewood,control,0,3,0,3,3,3,1,0,0
SM9C,2,Striped Maple,control,0,0,0,1,2,0,0,0,0
AB5C,2,Beech,control,2,0,0,4,2,0,0,0,0
SM9B,2,Striped Maple,bag,5,1,1,1,0,1,0,0,0
HS9C,2,Honeysuckle,control,3,0,0,1,1,6,1,0,0
WH9B,2,Witch-hazel,bag,3,1,2,2,1,0,0,0,1
BC9B,2,Black Cherry,bag,2,1,1,9,0,5,0,0,1
WH10B,2,Witch-hazel,bag,5,4,1,4,3,3,1,0,1
WH9C,2,Witch-hazel,control,1,0,1,3,0,2,2,0,0
BB8B,2,Black Birch,bag,1,0,0,4,1,1,0,0,0
MW9C,2,Musclewood,control,0,0,0,3,1,0,0,0,0
BB7C,2,Black Birch,control,2,0,0,5,0,3,0,0,0
AB6C,2,Beech,control,0,2,0,5,0,0,0,0,0
BC10C,2,Black Cherry,control,0,1,0,6,1,4,0,0,1
BB8C,2,Black Birch,control,2,0,1,2,0,0,0,0,0
AB5B,2,Beech,bag,1,0,2,4,1,1,0,0,0
AB6B,2,Beech,bag,3,2,3,11,1,7,0,0,0
SM10B,2,Striped Maple,bag,5,0,0,2,1,1,0,0,0
BC10B,2,Black Cherry,bag,1,2,0,3,0,3,0,0,0
AO9C,2,Autumn Olive,control,4,0,3,5,0,2,2,0,0
WE6C,2,Burning Bush,control,4,0,0,0,1,2,0,0,0
AO10C,2,Autumn Olive,control,3,0,0,2,2,5,0,0,2
BY8C,2,Barberry,control,9,0,0,2,2,3,0,0,0
AO9B,2,Autumn Olive,bag,13,0,1,4,0,3,0,0,2
WE6B,2,Burning Bush,bag,9,0,3,5,0,2,0,0,4
AO10B,2,Autumn Olive,bag,11,0,2,1,4,25,0,0,3
HS10C,2,Honeysuckle,control,11,0,0,2,1,3,0,0,1
HS10B,2,Honeysuckle,bag,19,0,0,2,1,4,0,0,1
BY8B,2,Barberry,bag,6,0,1,6,1,3,0,0,0
BB7B,2,Black Birch,bag,5,2,0,2,1,1,0,0,1
MW9B,2,Musclewood,bag,6,2,1,7,2,2,1,0,1
WH11C,2,Witch-hazel,control,2,0,1,7,1,4,0,0,0
MW11B,2,Musclewood,bag,5,0,1,1,0,9,1,0,0
BC11B,2,Black Cherry,bag,3,0,1,4,5,4,0,0,0
SM11C,2,Striped Maple,control,2,0,0,8,2,1,0,0,0
WH12C,2,Witch-hazel,control,1,3,0,5,1,0,0,0,1
BB9B,2,Black Birch,bag,1,0,0,4,4,0,0,0,0
BC12B,2,Black Cherry,bag,6,0,0,5,1,1,0,0,2
BB10B,2,Black Birch,bag,8,0,1,3,8,3,0,0,3
SM11B,2,Striped Maple,bag,3,1,0,3,1,1,0,0,0
BC11C,2,Black Cherry,control,1,0,2,10,3,6,0,0,2
AB8C,2,Beech,control,1,0,0,4,0,0,0,0,1
AB7B,2,Beech,bag,5,1,0,5,0,0,0,0,1
SM12C,2,Striped Maple,control,0,0,0,0,4,0,0,0,1
AB7C,2,Beech,control,3,0,1,2,1,0,0,0,1
BB9C,2,Black Birch,control,0,0,2,1,0,1,0,0,0
AO12B,2,Autumn Olive,bag,3,0,0,0,2,2,0,0,0
BB10C,2,Black Birch,control,0,0,0,1,1,1,0,0,0
SM12B,2,Striped Maple,bag,0,0,0,8,0,2,0,0,0
MW11C,2,Musclewood,control,1,0,2,2,1,6,0,0,0
AO12C,2,Autumn Olive,control,9,0,0,1,0,0,0,0,0
WE11C,2,Burning Bush,control,7,0,1,1,1,2,2,0,2
WH11B,2,Witch-hazel,bag,3,6,0,1,1,0,0,0,0
WH12B,2,Witch-hazel,bag,3,1,1,6,1,1,1,0,1
BC12C,2,Black Cherry,control,1,0,0,1,0,7,0,0,0
AB8B,2,Beech,bag,2,0,0,0,1,5,0,0,0
MW12C,2,Musclewood,control,8,2,5,2,1,5,0,0,0
AO11C,2,Autumn Olive,control,6,0,1,0,1,2,0,0,1
WE11B,2,Burning Bush,bag,12,3,1,1,1,8,1,0,1
HS11C,2,Honeysuckle,control,8,1,2,4,1,2,0,0,0
HS11B,2,Honeysuckle,bag,11,0,1,6,6,6,0,0,0
HS12C,2,Honeysuckle,control,4,0,1,0,1,9,0,0,0
AO11B,2,Autumn Olive,bag,13,0,1,1,1,3,2,0,1
BY11C,2,Barberry,control,6,0,0,0,1,1,0,0,0
WE12C,2,Burning Bush,control,6,0,0,1,0,4,1,0,0
MW12B,2,Musclewood,bag,6,0,1,4,0,9,1,0,0
HS12B,2,Honeysuckle,bag,6,2,0,2,8,14,0,0,0
WE12B,2,Burning Bush,bag,12,0,2,4,0,5,0,0,1
BY11B,2,Barberry,bag,16,1,2,2,0,4,0,0,0
BY12B,2,Barberry,bag,14,0,1,0,1,1,1,0,0
BY12C,2,Barberry,control,12,1,1,1,0,4,0,0,0
WH4C,3,Witch-hazel,control,5,0,1,7,0,5,5,0,0
HS2C,3,Honeysuckle,control,4,0,0,7,1,2,0,0,0
WH4B,3,Witch-hazel,bag,6,1,0,3,1,5,2,0,2
BY7B,3,Barberry,bag,4,0,0,1,1,4,0,0,0
SM1B,3,Striped Maple,bag,9,1,1,4,1,4,0,0,1
BB12B,3,Black Birch,bag,8,1,0,1,6,1,0,0,3
WH3C,3,Witch-hazel,control,6,0,1,1,5,3,0,0,0
WE1C,3,Burning Bush,control,4,0,2,0,4,5,2,0,0
BB11C,3,Black Birch,control,7,0,0,2,3,0,0,0,0
BB12C,3,Black Birch,control,3,0,0,0,0,1,0,0,4
SM1C,3,Striped Maple,control,3,0,0,1,1,1,0,0,0
BY6C,3,Barberry,control,3,0,0,0,0,5,0,0,0
BC4C,3,Black Cherry,control,2,1,0,1,1,12,0,0,3
BB11B,3,Black Birch,bag,15,0,0,2,0,3,0,0,1
AB1C,3,Beech,control,6,0,0,0,0,2,0,0,0
HS1C,3,Honeysuckle,control,2,1,2,2,3,3,0,0,1
AO8C,3,Autumn Olive,control,10,0,0,5,0,4,0,0,1
BY6B,3,Barberry,bag,7,1,1,0,1,0,0,0,0
WE9B,3,Burning Bush,bag,9,0,0,2,1,4,1,0,1
AO8B,3,Autumn Olive,bag,12,1,0,1,1,13,0,0,2
SM2B,3,Striped Maple,bag,12,1,0,4,8,2,0,0,1
SM2C,3,Striped Maple,control,3,0,0,3,3,1,2,0,0
BC5C,3,Black Cherry,control,5,0,0,0,2,0,0,0,0
MW2B,3,Musclewood,bag,5,0,0,1,0,5,1,0,0
WE9C,3,Burning Bush,control,10,0,0,2,2,1,0,0,1
MW1C,3,Musclewood,control,6,0,0,1,0,2,0,0,0
BC5B,3,Black Cherry,bag,9,1,1,1,2,3,1,0,0
HS2B,3,Honeysuckle,bag,12,0,0,2,1,8,0,0,4
WH3B,3,Witch-hazel,bag,5,0,3,3,1,0,0,0,0
AO1B,3,Autumn Olive,bag,10,1,0,2,6,5,0,0,1
BY7C,3,Barberry,control,6,0,0,1,0,1,0,0,0
AB9C,3,Beech,control,12,0,1,2,0,1,0,0,0
AB1B,3,Beech,bag,3,2,0,4,0,5,0,0,1
AB9B,3,Beech,bag,15,1,1,3,1,3,0,0,1
MW1B,3,Musclewood,bag,12,1,0,4,1,2,0,0,0
AO1C,3,Autumn Olive,control,5,0,3,3,0,8,0,0,0
HS1B,3,Honeysuckle,bag,2,0,0,3,1,4,0,0,0
WE1B,3,Burning Bush,bag,10,0,0,4,3,4,1,0,0
BC4B,3,Black Cherry,bag,11,0,1,7,2,10,0,0,0
MW2C,3,Musclewood,control,6,1,0,2,0,6,0,0,0
SM4C,3,Striped Maple,control,19,1,1,4,1,8,0,0,2
HS4C,3,Honeysuckle,control,12,0,2,2,1,4,1,0,1
BC7C,3,Black Cherry,control,5,1,0,0,0,7,0,0,1
BC6C,3,Black Cherry,control,6,5,1,3,1,5,0,0,0
SM3C,3,Striped Maple,control,0,0,0,2,1,3,0,0,1
AB10B,3,Beech,bag,2,0,1,3,0,0,1,0,0
SM3B,3,Striped Maple,bag,7,2,0,1,2,2,0,0,1
HS4B,3,Honeysuckle,bag,15,3,5,8,2,10,2,1,1
AB10C,3,Beech,control,5,0,3,5,1,3,0,0,1
AO3B,3,Autumn Olive,bag,7,1,1,8,0,1,1,0,1
BB1B,3,Black Birch,bag,27,1,1,1,2,8,0,0,0
AB11C,3,Beech,control,2,0,1,4,3,1,0,0,0
AB11B,3,Beech,bag,6,0,5,4,4,2,1,0,0
WH1B,3,Witch-hazel,bag,17,1,12,14,4,2,1,0,0
BB2B,3,Black Birch,bag,2,0,1,1,3,2,2,0,3
BB2C,3,Black Birch,control,2,1,1,4,4,6,6,0,1
BB1C,3,Black Birch,control,5,0,1,2,1,8,0,0,0
HS3C,3,Honeysuckle,control,3,1,0,0,6,3,0,0,3
AO2B,3,Autumn Olive,bag,8,0,1,0,0,5,0,0,0
SM4B,3,Striped Maple,bag,9,1,0,5,2,5,0,0,2
WH1C,3,Witch-hazel,control,7,0,2,1,1,1,0,0,0
MW4B,3,Musclewood,bag,8,1,2,7,1,4,4,0,0
HS3B,3,Honeysuckle,bag,13,1,2,0,1,6,0,0,3
BY2C,3,Barberry,control,6,0,2,0,0,2,0,0,0
BC6B,3,Black Cherry,bag,8,4,1,1,1,11,0,0,2
BY1C,3,Barberry,control,9,2,0,1,2,11,0,0,0
BC7B,3,Black Cherry,bag,6,0,2,1,0,6,0,0,0
AO2C,3,Autumn Olive,control,4,1,1,1,1,4,1,0,0
WE8B,3,Burning Bush,bag,6,2,1,1,0,3,0,0,1
AO3C,3,Autumn Olive,control,1,1,1,4,0,1,1,0,0
WH2C,3,Witch-hazel,control,2,0,3,1,5,3,0,0,0
MW3B,3,Musclewood,bag,5,1,4,2,0,2,9,0,0
MW4C,3,Musclewood,control,6,1,4,1,1,3,4,0,1
WE7C,3,Burning Bush,control,4,1,2,0,0,2,0,0,0
WE7B,3,Burning Bush,bag,5,1,1,0,1,3,0,0,1
BY1B,3,Barberry,bag,10,1,4,0,7,8,1,0,0
BY2B,3,Barberry,bag,5,0,1,0,1,2,0,0,0
MW3C,3,Musclewood,control,2,2,2,6,2,8,2,0,0
WE8C,3,Burning Bush,control,2,0,0,0,0,2,0,0,1
WH2B,3,Witch-hazel,bag,10,2,5,2,6,1,1,0,2
SM5C,3,Striped Maple,control,4,1,0,3,19,14,0,0,0
BC1B,3,Black Cherry,bag,3,2,1,3,1,3,0,0,0
SM6B,3,Striped Maple,bag,15,0,1,7,1,3,0,0,0
WH6B,3,Witch-hazel,bag,12,1,0,3,0,2,1,0,0
AO4C,3,Autumn Olive,control,2,0,1,4,0,1,0,0,0
MW5B,3,Musclewood,bag,11,0,2,5,3,12,2,0,1
WH5C,3,Witch-hazel,control,10,0,1,3,1,2,1,0,0
MW5C,3,Musclewood,control,8,0,0,2,0,5,1,0,0
BB4B,3,Black Birch,bag,11,0,3,2,4,5,2,0,1
BC1C,3,Black Cherry,control,1,0,0,5,0,9,0,0,0
BC3B,3,Black Cherry,bag,6,1,0,2,1,2,0,0,0
AB2C,3,Beech,control,1,1,1,3,1,3,0,0,0
BY5B,3,Barberry,bag,8,0,0,1,0,11,0,0,0
SM5B,3,Striped Maple,bag,5,1,0,2,3,0,0,0,0
MW6C,3,Musclewood,control,7,0,0,4,3,6,2,0,1
BB4C,3,Black Birch,control,4,1,0,3,1,2,0,0,0
BC3C,3,Black Cherry,control,4,2,0,1,1,3,0,0,0
AB2B,3,Beech,bag,8,1,12,5,5,4,0,0,2
HS5B,3,Honeysuckle,bag,8,2,0,1,4,37,0,0,20
AB12C,3,Beech,control,1,0,1,2,0,2,0,0,0
HS5C,3,Honeysuckle,control,15,0,1,3,1,2,0,0,2
HS6B,3,Honeysuckle,bag,9,0,0,0,0,4,0,0,2
HS6C,3,Honeysuckle,control,9,0,0,0,1,7,0,0,0
WH5B,3,Witch-hazel,bag,9,0,1,0,2,2,1,0,1
BB3B,3,Black Birch,bag,5,1,0,4,2,4,0,0,3
BY4B,3,Barberry,bag,4,1,1,2,0,1,0,0,1
BY4C,3,Barberry,control,6,3,1,2,0,6,0,0,0
SM6C,3,Striped Maple,control,3,1,0,4,1,2,0,0,0
AB12B,3,Beech,bag,7,2,0,3,1,0,0,0,0
WE2B,3,Burning Bush,bag,5,0,0,2,0,3,0,0,0
WE3B,3,Burning Bush,bag,1,0,0,0,0,1,0,0,2
BB3C,3,Black Birch,control,2,0,0,4,4,7,1,0,1
AO4B,3,Autumn Olive,bag,4,0,0,3,0,2,0,0,0
AO5B,3,Autumn Olive,bag,16,0,0,3,1,10,0,0,0
WE3C,3,Burning Bush,control,1,0,1,2,0,3,0,0,1
BY5C,3,Barberry,control,0,0,0,1,0,2,0,0,0
WE2C,3,Burning Bush,control,3,0,1,0,0,4,0,0,0
AO5C,3,Autumn Olive,control,2,1,1,1,0,8,1,0,1
MW6B,3,Musclewood,bag,9,0,0,8,0,10,0,0,0
WH6C,3,Witch-hazel,control,4,0,1,3,6,1,0,0,0
WH7B,3,Witch-hazel,bag,14,1,1,2,1,5,1,0,0
AO6B,3,Autumn Olive,bag,5,0,0,0,0,4,0,0,2
WE5B,3,Burning Bush,bag,5,0,3,2,1,2,0,0,1
BY3C,3,Barberry,control,8,0,2,0,1,5,1,0,0
BY9C,3,Barberry,control,7,2,1,0,0,0,0,0,1
BY3B,3,Barberry,bag,8,0,1,3,0,3,1,0,0
AO7B,3,Autumn Olive,bag,4,0,1,1,0,6,0,0,0
AO7C,3,Autumn Olive,control,3,1,0,3,0,4,0,0,1
WE4C,3,Burning Bush,control,1,0,0,0,0,2,0,0,1
HS7C,3,Honeysuckle,control,10,1,0,0,0,10,0,0,0
MW7B,3,Musclewood,bag,11,0,0,4,0,8,0,0,0
HS7B,3,Honeysuckle,bag,12,1,0,1,0,10,0,0,2
WE4B,3,Burning Bush,bag,4,0,0,0,0,5,0,0,2
WE5C,3,Burning Bush,control,1,0,0,2,1,1,1,0,0
MW7C,3,Musclewood,control,1,1,0,0,0,1,0,0,0
HS8B,3,Honeysuckle,bag,4,0,0,3,0,3,0,0,1
HS8C,3,Honeysuckle,control,12,0,2,4,0,1,0,0,3
AO6C,3,Autumn Olive,control,4,0,0,4,1,3,0,0,0
BY9B,3,Barberry,bag,5,0,0,1,0,3,0,0,1
MW8C,3,Musclewood,control,1,1,0,4,0,3,0,0,0
WH7C,3,Witch-hazel,control,6,0,0,4,5,5,0,0,0
MW8B,3,Musclewood,bag,0,0,1,2,1,2,1,0,0
BB6B,3,Black Birch,bag,18,2,0,1,0,7,0,0,3
SM7B,3,Striped Maple,bag,6,1,1,1,1,2,2,0,0
SM7C,3,Striped Maple,control,2,0,1,3,0,1,0,0,0
SM8B,3,Striped Maple,bag,10,2,1,0,3,1,0,0,2
SM8C,3,Striped Maple,control,1,0,2,0,3,6,0,0,1
BB5B,3,Black Birch,bag,7,1,2,5,0,1,4,0,0
BB5C,3,Black Birch,control,1,1,0,3,0,1,6,0,0
AB3B,3,Beech,bag,7,0,6,1,0,2,0,0,1
WH8C,3,Witch-hazel,control,5,1,3,8,4,2,2,0,0
WH8B,3,Witch-hazel,bag,7,2,0,1,1,1,0,0,0
AB4C,3,Beech,control,2,0,3,2,0,1,0,0,0
AB4B,3,Beech,bag,6,1,1,0,0,1,0,0,2
AB3C,3,Beech,control,2,0,2,0,0,0,0,0,0
BC8B,3,Black Cherry,bag,5,2,0,3,0,1,0,0,1
BC8C,3,Black Cherry,control,0,1,1,3,6,2,0,0,0
BC2C,3,Black Cherry,control,2,0,1,1,1,10,0,0,1
BB6C,3,Black Birch,control,4,2,0,6,9,0,0,0,0
BC2B,3,Black Cherry,bag,4,1,0,1,3,9,0,0,0
AO10B,3,Autumn Olive,bag,8,3,0,1,0,6,0,0,2
MW9B,3,Musclewood,bag,6,1,0,4,0,2,5,0,2
BB7B,3,Black Birch,bag,3,1,1,0,0,1,0,0,2
BY8B,3,Barberry,bag,6,0,2,1,0,6,0,0,0
HS9B,3,Honeysuckle,bag,15,0,0,13,1,7,0,0,0
BB8B,3,Black Birch,bag,7,1,2,2,0,2,1,0,0
SM9B,3,Striped Maple,bag,3,1,2,3,0,0,0,0,1
AO10C,3,Autumn Olive,control,104,0,0,0,1,10,0,0,0
MW9C,3,Musclewood,control,2,0,2,1,3,1,11,0,0
SM9C,3,Striped Maple,control,1,0,0,1,0,0,0,0,0
WH9B,3,Witch-hazel,bag,6,1,0,1,1,2,0,0,1
AB5C,3,Beech,control,7,0,1,2,0,2,0,0,0
WH10C,3,Witch-hazel,control,1,1,0,2,0,0,0,0,0
WH10B,3,Witch-hazel,bag,9,2,0,7,0,1,0,0,1
WE10C,3,Burning Bush,control,3,0,0,0,0,0,0,0,0
MW10C,3,Musclewood,control,4,3,0,2,1,5,1,0,0
HS10C,3,Honeysuckle,control,16,1,0,0,0,10,0,0,2
MW10B,3,Musclewood,bag,7,0,6,1,1,6,1,0,0
BB8C,3,Black Birch,control,1,0,0,0,0,5,0,0,0
BY10B,3,Barberry,bag,6,0,0,0,0,10,0,0,0
WE6B,3,Burning Bush,bag,12,0,2,0,0,4,0,0,1
BY10C,3,Barberry,control,0,0,0,1,0,1,0,0,0
WE6C,3,Burning Bush,control,2,0,1,8,1,2,0,0,0
BY8C,3,Barberry,control,5,1,1,3,0,1,0,0,0
SM10B,3,Striped Maple,bag,8,1,3,0,1,4,0,0,1
HS9C,3,Honeysuckle,control,7,0,0,0,0,5,0,0,0
AB6C,3,Beech,control,5,1,0,1,1,7,0,0,0
AO9B,3,Autumn Olive,bag,12,5,0,0,0,12,0,0,0
SM10C,3,Striped Maple,control,2,1,1,3,1,0,0,0,0
BC9B,3,Black Cherry,bag,3,1,0,1,0,4,0,0,3
BB7C,3,Black Birch,control,3,1,0,1,0,0,0,0,0
BC10C,3,Black Cherry,control,4,0,0,0,2,2,0,0,2
BC9C,3,Black Cherry,control,1,0,0,1,0,2,0,0,1
AB6B,3,Beech,bag,21,3,1,6,2,1,0,0,1
WH9C,3,Witch-hazel,control,2,2,0,0,0,3,0,0,0
WE10B,3,Burning Bush,bag,4,1,0,3,1,4,0,0,2
HS10B,3,Honeysuckle,bag,17,0,0,1,0,6,0,0,0
BC10B,3,Black Cherry,bag,6,3,0,5,0,3,0,0,0
AB5B,3,Beech,bag,4,0,1,2,1,0,0,0,0
AO9C,3,Autumn Olive,control,7,0,0,0,0,4,1,0,0
SM11B,3,Striped Maple,bag,1,0,4,27,1,2,0,0,2
SM11C,3,Striped Maple,control,1,0,1,3,4,0,0,0,0
SM12B,3,Striped Maple,bag,2,3,1,15,3,2,0,0,0
SM12C,3,Striped Maple,control,1,0,1,3,3,0,0,0,0
MW12B,3,Musclewood,bag,6,2,0,1,0,5,0,0,0
BC12C,3,Black Cherry,control,2,0,1,1,0,3,0,0,0
BC12B,3,Black Cherry,bag,2,1,1,3,1,3,0,0,2
MW11C,3,Musclewood,control,3,4,0,6,1,2,0,0,0
BC11C,3,Black Cherry,control,6,2,1,9,2,0,0,0,0
AB7C,3,Beech,control,1,0,2,4,1,1,0,0,0
MW12C,3,Musclewood,control,8,0,2,3,0,1,0,0,0
WH11B,3,Witch-hazel,bag,5,1,0,2,3,3,0,0,1
MW11B,3,Musclewood,bag,10,2,3,2,0,1,1,0,1
BB10B,3,Black Birch,bag,12,3,4,6,2,4,0,0,0
AB8C,3,Beech,control,3,0,2,13,1,1,0,0,1
AB8B,3,Beech,bag,1,0,2,11,2,1,0,0,1
BC11B,3,Black Cherry,bag,4,2,1,12,1,1,0,0,2
AO11B,3,Autumn Olive,bag,13,0,0,0,0,3,0,0,0
BY11C,3,Barberry,control,3,0,1,0,0,2,0,0,0
BB9B,3,Black Birch,bag,4,1,1,6,1,1,0,0,1
AB7B,3,Beech,bag,5,0,2,10,1,0,0,0,1
BB10C,3,Black Birch,control,2,0,0,1,2,1,0,0,0
WH12B,3,Witch-hazel,bag,1,2,9,10,1,5,0,0,0
WH11C,3,Witch-hazel,control,5,0,2,2,0,1,0,0,1
WH12C,3,Witch-hazel,control,8,0,0,3,0,2,0,0,0
HS11B,3,Honeysuckle,bag,4,1,0,3,2,5,0,1,2
WE11B,3,Burning Bush,bag,10,1,1,1,5,5,0,0,1
HS11C,3,Honeysuckle,control,4,3,2,7,1,3,0,0,0
AO11C,3,Autumn Olive,control,5,0,1,0,0,4,0,0,0
BY12C,3,Barberry,control,7,0,0,1,2,1,0,1,0
WE11C,3,Burning Bush,control,11,0,1,2,0,5,0,0,0
AO12C,3,Autumn Olive,control,17,1,0,1,0,3,1,0,0
WE12C,3,Burning Bush,control,4,1,0,2,2,1,0,0,0
BY11B,3,Barberry,bag,4,1,2,1,1,3,0,2,0
HS12C,3,Honeysuckle,control,7,0,0,7,2,9,0,0,1
WE12B,3,Burning Bush,bag,6,1,2,6,0,0,0,0,0
AO12B,3,Autumn Olive,bag,1,0,0,2,6,0,0,0,0
HS12B,3,Honeysuckle,bag,5,0,0,6,4,17,0,13,0
BY12B,3,Barberry,bag,7,0,0,0,0,4,0,18,0
BB9C,3,Black Birch,control,0,0,0,3,1,0,0,0,0
