"","branch_code","time_block","tree","treatment","arachnids","lepidoptera","diptera","coleoptera","hymenoptera","hemiptera","aquatics","gastropods","orthopterids","exo","guild"
"308","BY1C",2,"Barberry","control",5,0,0,0,1,1,0,0,0,"Non-native",5
"309","SM5C",2,"Striped Maple","control",2,2,0,5,15,23,0,0,0,"Native",2
"310","AB2C",2,"Beech","control",4,0,7,1,3,0,0,0,1,"Native",4
"311","AB12B",2,"Beech","bag",4,0,0,6,1,4,1,0,0,"Native",4
"312","AB12C",2,"Beech","control",4,0,0,3,0,4,0,0,0,"Native",4
"313","AB2B",2,"Beech","bag",4,1,2,1,4,1,2,0,0,"Native",4
"314","AO4C",2,"Autumn Olive","control",3,0,0,0,1,6,0,0,0,"Non-native",3
"315","SM6C",2,"Striped Maple","control",5,0,0,5,1,1,1,0,0,"Native",5
"316","BB4C",2,"Sweet Birch","control",1,0,4,6,4,2,2,0,1,"Native",1
"317","BB4B",2,"Sweet Birch","bag",5,1,0,5,5,0,3,0,0,"Native",5
"318","BY5B",2,"Barberry","bag",7,2,2,1,1,6,0,0,0,"Non-native",7
"319","BY5C",2,"Barberry","control",9,0,1,2,3,0,0,0,0,"Non-native",9
"320","WH5C",2,"Witch-hazel","control",12,0,0,3,2,2,0,0,0,"Native",12
"321","AO4B",2,"Autumn Olive","bag",9,2,1,5,0,12,0,0,0,"Non-native",9
"322","SM5B",2,"Striped Maple","bag",7,2,0,3,1,11,0,0,0,"Native",7
"323","BB3C",2,"Sweet Birch","control",3,0,0,3,5,17,0,0,0,"Native",3
"324","WH5B",2,"Witch-hazel","bag",10,0,1,9,1,8,0,0,0,"Native",10
"325","SM6B",2,"Striped Maple","bag",21,1,0,4,0,5,0,0,0,"Native",21
"326","MW6C",2,"Musclewood","control",5,1,2,4,0,5,0,0,0,"Native",5
"327","BB3B",2,"Sweet Birch","bag",14,0,1,10,0,6,0,0,0,"Native",14
"328","AO5B",2,"Autumn Olive","bag",11,2,1,1,0,3,0,0,2,"Non-native",11
"329","BC1C",2,"Shadbush","control",1,0,0,2,3,4,0,0,0,"Native",1
"330","MW5C",2,"Musclewood","control",6,1,1,0,0,8,0,0,0,"Native",6
"331","AO5C",2,"Autumn Olive","control",4,0,2,0,0,5,0,0,0,"Non-native",4
"332","BC3B",2,"Shadbush","bag",4,0,1,1,1,5,0,0,0,"Native",4
"333","BC1B",2,"Shadbush","bag",3,1,0,2,4,5,0,0,0,"Native",3
"334","WH6C",2,"Witch-hazel","control",7,1,0,0,1,12,0,0,0,"Native",7
"335","WE2B",2,"Burning Bush","bag",10,0,0,4,0,8,1,0,0,"Non-native",10
"336","HS6C",2,"Honeysuckle","control",13,0,3,0,0,8,0,0,0,"Non-native",13
"337","HS5B",2,"Honeysuckle","bag",11,0,4,1,1,11,0,0,0,"Non-native",11
"338","WE2C",2,"Burning Bush","control",7,3,2,3,0,1,0,0,0,"Non-native",7
"339","HS5C",2,"Honeysuckle","control",12,0,0,2,0,4,0,0,1,"Non-native",12
"340","BY4C",2,"Barberry","control",5,3,1,0,1,6,0,0,0,"Non-native",5
"341","WE3B",2,"Burning Bush","bag",7,0,0,0,1,1,0,0,4,"Non-native",7
"342","WH6B",2,"Witch-hazel","bag",10,0,0,2,1,4,0,0,0,"Native",10
"343","BC3C",2,"Shadbush","control",4,1,0,0,1,14,0,0,0,"Native",4
"344","WE3C",2,"Burning Bush","control",8,0,3,3,0,6,0,0,2,"Non-native",8
"345","MW6B",2,"Musclewood","bag",13,0,0,5,3,3,0,0,0,"Native",13
"346","BY4B",2,"Barberry","bag",6,2,1,0,1,1,1,0,0,"Non-native",6
"347","HS6B",2,"Honeysuckle","bag",13,1,0,3,0,3,0,0,1,"Non-native",13
"348","MW5B",2,"Musclewood","bag",11,0,0,5,2,8,2,0,1,"Native",11
"349","WE5B",2,"Burning Bush","bag",9,0,1,7,0,1,1,0,2,"Non-native",9
"350","BB6B",2,"Sweet Birch","bag",7,1,0,0,5,2,0,0,1,"Native",7
"351","SM8C",2,"Striped Maple","control",3,0,0,3,2,2,1,0,1,"Native",3
"352","WE5C",2,"Burning Bush","control",10,0,2,3,0,4,0,0,0,"Non-native",10
"353","WH8B",2,"Witch-hazel","bag",2,1,0,10,1,0,0,0,0,"Native",2
"354","BB5C",2,"Sweet Birch","control",4,0,0,5,4,6,4,0,0,"Native",4
"355","BC2C",2,"Shadbush","control",1,0,0,0,1,12,0,0,0,"Native",1
"356","AB4C",2,"Beech","control",1,0,0,0,0,3,0,0,0,"Native",1
"357","AB4B",2,"Beech","bag",5,0,0,2,0,0,0,0,1,"Native",5
"358","MW8C",2,"Musclewood","control",2,2,1,9,0,13,1,0,1,"Native",2
"359","SM8B",2,"Striped Maple","bag",8,0,2,3,3,3,0,0,0,"Native",8
"360","AO7B",2,"Autumn Olive","bag",13,0,0,7,1,3,0,0,0,"Non-native",13
"361","AO7C",2,"Autumn Olive","control",2,0,1,2,1,0,0,0,0,"Non-native",2
"362","BC2B",2,"Shadbush","bag",1,0,0,4,3,9,0,0,2,"Native",1
"363","BC8B",2,"Shadbush","bag",3,2,2,2,1,2,0,0,1,"Native",3
"364","AB3C",2,"Beech","control",2,0,1,1,1,3,1,0,1,"Native",2
"365","MW7C",2,"Musclewood","control",8,1,2,4,0,4,0,0,0,"Native",8
"366","WH7B",2,"Witch-hazel","bag",25,2,1,5,1,6,0,0,0,"Native",25
"367","AO6C",2,"Autumn Olive","control",1,0,1,1,0,1,0,0,1,"Non-native",1
"368","BY9B",2,"Barberry","bag",11,1,3,2,1,14,0,0,0,"Non-native",11
"369","AO6B",2,"Autumn Olive","bag",2,2,1,2,0,4,0,0,0,"Non-native",2
"370","MW7B",2,"Musclewood","bag",13,0,1,1,1,8,0,0,0,"Native",13
"371","HS7C",2,"Honeysuckle","control",12,0,0,4,1,8,0,0,2,"Non-native",12
"372","HS8B",2,"Honeysuckle","bag",11,0,0,1,4,3,0,0,1,"Non-native",11
"373","BY3B",2,"Barberry","bag",9,0,1,1,3,4,0,0,0,"Non-native",9
"374","WE4B",2,"Burning Bush","bag",8,0,0,1,5,7,0,0,4,"Non-native",8
"375","BY9C",2,"Barberry","control",5,1,3,1,0,6,1,0,2,"Non-native",5
"376","HS7B",2,"Honeysuckle","bag",12,1,1,1,1,7,0,0,0,"Non-native",12
"377","HS8C",2,"Honeysuckle","control",6,0,2,2,0,3,0,0,1,"Non-native",6
"378","BB6C",2,"Sweet Birch","control",3,2,0,1,13,1,0,0,0,"Native",3
"379","WE4C",2,"Burning Bush","control",1,0,1,1,3,6,0,0,0,"Non-native",1
"380","BB5B",2,"Sweet Birch","bag",7,0,0,10,1,0,0,0,0,"Native",7
"381","WH8C",2,"Witch-hazel","control",2,1,2,7,6,1,1,0,0,"Native",2
"382","WH7C",2,"Witch-hazel","control",10,0,0,4,1,20,0,0,2,"Native",10
"383","BC8C",2,"Shadbush","control",1,0,1,0,0,2,0,0,0,"Native",1
"384","MW8B",2,"Musclewood","bag",4,0,0,3,0,6,1,0,0,"Native",4
"385","SM7C",2,"Striped Maple","control",0,2,3,3,2,0,1,0,0,"Native",0
"386","AB3B",2,"Beech","bag",4,2,2,2,1,2,0,0,0,"Native",4
"387","BY3C",2,"Barberry","control",7,4,2,0,1,4,1,0,0,"Non-native",7
"388","SM7B",2,"Striped Maple","bag",6,1,5,5,0,0,1,0,1,"Native",6
"389","BY10B",2,"Barberry","bag",8,0,0,0,0,11,0,0,0,"Non-native",8
"390","BY10C",2,"Barberry","control",4,0,0,0,1,1,0,0,0,"Non-native",4
"391","SM10C",2,"Striped Maple","control",3,0,0,2,1,1,0,0,0,"Native",3
"392","WE10C",2,"Burning Bush","control",3,0,0,4,0,2,0,0,0,"Non-native",3
"393","BC9C",2,"Shadbush","control",1,2,0,4,1,12,0,0,0,"Native",1
"394","WE10B",2,"Burning Bush","bag",9,0,0,6,0,0,0,0,0,"Non-native",9
"395","HS9B",2,"Honeysuckle","bag",6,3,0,6,1,8,1,0,0,"Non-native",6
"396","WH10C",2,"Witch-hazel","control",1,1,0,4,0,0,1,0,0,"Native",1
"397","MW10B",2,"Musclewood","bag",2,0,1,4,1,0,6,0,0,"Native",2
"398","MW10C",2,"Musclewood","control",0,3,0,3,3,3,1,0,0,"Native",0
"399","SM9C",2,"Striped Maple","control",0,0,0,1,2,0,0,0,0,"Native",0
"400","AB5C",2,"Beech","control",2,0,0,4,2,0,0,0,0,"Native",2
"401","SM9B",2,"Striped Maple","bag",5,1,1,1,0,1,0,0,0,"Native",5
"402","HS9C",2,"Honeysuckle","control",3,0,0,1,1,6,1,0,0,"Non-native",3
"403","WH9B",2,"Witch-hazel","bag",3,1,2,2,1,0,0,0,1,"Native",3
"404","BC9B",2,"Shadbush","bag",2,1,1,9,0,5,0,0,1,"Native",2
"405","WH10B",2,"Witch-hazel","bag",5,4,1,4,3,3,1,0,1,"Native",5
"406","WH9C",2,"Witch-hazel","control",1,0,1,3,0,2,2,0,0,"Native",1
"407","BB8B",2,"Sweet Birch","bag",1,0,0,4,1,1,0,0,0,"Native",1
"408","MW9C",2,"Musclewood","control",0,0,0,3,1,0,0,0,0,"Native",0
"409","BB7C",2,"Sweet Birch","control",2,0,0,5,0,3,0,0,0,"Native",2
"410","AB6C",2,"Beech","control",0,2,0,5,0,0,0,0,0,"Native",0
"411","BC10C",2,"Shadbush","control",0,1,0,6,1,4,0,0,1,"Native",0
"412","BB8C",2,"Sweet Birch","control",2,0,1,2,0,0,0,0,0,"Native",2
"413","AB5B",2,"Beech","bag",1,0,2,4,1,1,0,0,0,"Native",1
"414","AB6B",2,"Beech","bag",3,2,3,11,1,7,0,0,0,"Native",3
"415","SM10B",2,"Striped Maple","bag",5,0,0,2,1,1,0,0,0,"Native",5
"416","BC10B",2,"Shadbush","bag",1,2,0,3,0,3,0,0,0,"Native",1
"417","AO9C",2,"Autumn Olive","control",4,0,3,5,0,2,2,0,0,"Non-native",4
"418","WE6C",2,"Burning Bush","control",4,0,0,0,1,2,0,0,0,"Non-native",4
"419","AO10C",2,"Autumn Olive","control",3,0,0,2,2,5,0,0,2,"Non-native",3
"420","BY8C",2,"Barberry","control",9,0,0,2,2,3,0,0,0,"Non-native",9
"421","AO9B",2,"Autumn Olive","bag",13,0,1,4,0,3,0,0,2,"Non-native",13
"422","WE6B",2,"Burning Bush","bag",9,0,3,5,0,2,0,0,4,"Non-native",9
"423","AO10B",2,"Autumn Olive","bag",11,0,2,1,4,25,0,0,3,"Non-native",11
"424","HS10C",2,"Honeysuckle","control",11,0,0,2,1,3,0,0,1,"Non-native",11
"425","HS10B",2,"Honeysuckle","bag",19,0,0,2,1,4,0,0,1,"Non-native",19
"426","BY8B",2,"Barberry","bag",6,0,1,6,1,3,0,0,0,"Non-native",6
"427","BB7B",2,"Sweet Birch","bag",5,2,0,2,1,1,0,0,1,"Native",5
"428","MW9B",2,"Musclewood","bag",6,2,1,7,2,2,1,0,1,"Native",6
"429","WH11C",2,"Witch-hazel","control",2,0,1,7,1,4,0,0,0,"Native",2
"430","MW11B",2,"Musclewood","bag",5,0,1,1,0,9,1,0,0,"Native",5
"431","BC11B",2,"Shadbush","bag",3,0,1,4,5,4,0,0,0,"Native",3
"432","SM11C",2,"Striped Maple","control",2,0,0,8,2,1,0,0,0,"Native",2
"433","WH12C",2,"Witch-hazel","control",1,3,0,5,1,0,0,0,1,"Native",1
"434","BB9B",2,"Sweet Birch","bag",1,0,0,4,4,0,0,0,0,"Native",1
"435","BC12B",2,"Shadbush","bag",6,0,0,5,1,1,0,0,2,"Native",6
"436","BB10B",2,"Sweet Birch","bag",8,0,1,3,8,3,0,0,3,"Native",8
"437","SM11B",2,"Striped Maple","bag",3,1,0,3,1,1,0,0,0,"Native",3
"438","BC11C",2,"Shadbush","control",1,0,2,10,3,6,0,0,2,"Native",1
"439","AB8C",2,"Beech","control",1,0,0,4,0,0,0,0,1,"Native",1
"440","AB7B",2,"Beech","bag",5,1,0,5,0,0,0,0,1,"Native",5
"441","SM12C",2,"Striped Maple","control",0,0,0,0,4,0,0,0,1,"Native",0
"442","AB7C",2,"Beech","control",3,0,1,2,1,0,0,0,1,"Native",3
"443","BB9C",2,"Sweet Birch","control",0,0,2,1,0,1,0,0,0,"Native",0
"444","AO12B",2,"Autumn Olive","bag",3,0,0,0,2,2,0,0,0,"Non-native",3
"445","BB10C",2,"Sweet Birch","control",0,0,0,1,1,1,0,0,0,"Native",0
"446","SM12B",2,"Striped Maple","bag",0,0,0,8,0,2,0,0,0,"Native",0
"447","MW11C",2,"Musclewood","control",1,0,2,2,1,6,0,0,0,"Native",1
"448","AO12C",2,"Autumn Olive","control",9,0,0,1,0,0,0,0,0,"Non-native",9
"449","WE11C",2,"Burning Bush","control",7,0,1,1,1,2,2,0,2,"Non-native",7
"450","WH11B",2,"Witch-hazel","bag",3,6,0,1,1,0,0,0,0,"Native",3
"451","WH12B",2,"Witch-hazel","bag",3,1,1,6,1,1,1,0,1,"Native",3
"452","BC12C",2,"Shadbush","control",1,0,0,1,0,7,0,0,0,"Native",1
"453","AB8B",2,"Beech","bag",2,0,0,0,1,5,0,0,0,"Native",2
"454","MW12C",2,"Musclewood","control",8,2,5,2,1,5,0,0,0,"Native",8
"455","AO11C",2,"Autumn Olive","control",6,0,1,0,1,2,0,0,1,"Non-native",6
"456","WE11B",2,"Burning Bush","bag",12,3,1,1,1,8,1,0,1,"Non-native",12
"457","HS11C",2,"Honeysuckle","control",8,1,2,4,1,2,0,0,0,"Non-native",8
"458","HS11B",2,"Honeysuckle","bag",11,0,1,6,6,6,0,0,0,"Non-native",11
"459","HS12C",2,"Honeysuckle","control",4,0,1,0,1,9,0,0,0,"Non-native",4
"460","AO11B",2,"Autumn Olive","bag",13,0,1,1,1,3,2,0,1,"Non-native",13
"461","BY11C",2,"Barberry","control",6,0,0,0,1,1,0,0,0,"Non-native",6
"462","WE12C",2,"Burning Bush","control",6,0,0,1,0,4,1,0,0,"Non-native",6
"463","MW12B",2,"Musclewood","bag",6,0,1,4,0,9,1,0,0,"Native",6
"464","HS12B",2,"Honeysuckle","bag",6,2,0,2,8,14,0,0,0,"Non-native",6
"465","WE12B",2,"Burning Bush","bag",12,0,2,4,0,5,0,0,1,"Non-native",12
"466","BY11B",2,"Barberry","bag",16,1,2,2,0,4,0,0,0,"Non-native",16
"467","BY12B",2,"Barberry","bag",14,0,1,0,1,1,1,0,0,"Non-native",14
"468","BY12C",2,"Barberry","control",12,1,1,1,0,4,0,0,0,"Non-native",12
"469","WH4C",3,"Witch-hazel","control",5,0,1,7,0,5,5,0,0,"Native",5
"470","HS2C",3,"Honeysuckle","control",4,0,0,7,1,2,0,0,0,"Non-native",4
"471","WH4B",3,"Witch-hazel","bag",6,1,0,3,1,5,2,0,2,"Native",6
"472","BY7B",3,"Barberry","bag",4,0,0,1,1,4,0,0,0,"Non-native",4
"473","SM1B",3,"Striped Maple","bag",9,1,1,4,1,4,0,0,1,"Native",9
"474","BB12B",3,"Sweet Birch","bag",8,1,0,1,6,1,0,0,3,"Native",8
"475","WH3C",3,"Witch-hazel","control",6,0,1,1,5,3,0,0,0,"Native",6
"476","WE1C",3,"Burning Bush","control",4,0,2,0,4,5,2,0,0,"Non-native",4
"477","BB11C",3,"Sweet Birch","control",7,0,0,2,3,0,0,0,0,"Native",7
"478","BB12C",3,"Sweet Birch","control",3,0,0,0,0,1,0,0,4,"Native",3
"479","SM1C",3,"Striped Maple","control",3,0,0,1,1,1,0,0,0,"Native",3
"480","BY6C",3,"Barberry","control",3,0,0,0,0,5,0,0,0,"Non-native",3
"481","BC4C",3,"Shadbush","control",2,1,0,1,1,12,0,0,3,"Native",2
"482","BB11B",3,"Sweet Birch","bag",15,0,0,2,0,3,0,0,1,"Native",15
"483","AB1C",3,"Beech","control",6,0,0,0,0,2,0,0,0,"Native",6
"484","HS1C",3,"Honeysuckle","control",2,1,2,2,3,3,0,0,1,"Non-native",2
"485","AO8C",3,"Autumn Olive","control",10,0,0,5,0,4,0,0,1,"Non-native",10
"486","BY6B",3,"Barberry","bag",7,1,1,0,1,0,0,0,0,"Non-native",7
"487","WE9B",3,"Burning Bush","bag",9,0,0,2,1,4,1,0,1,"Non-native",9
"488","AO8B",3,"Autumn Olive","bag",12,1,0,1,1,13,0,0,2,"Non-native",12
"489","SM2B",3,"Striped Maple","bag",12,1,0,4,8,2,0,0,1,"Native",12
"490","SM2C",3,"Striped Maple","control",3,0,0,3,3,1,2,0,0,"Native",3
"491","MW2B",3,"Musclewood","bag",5,0,0,1,0,5,1,0,0,"Native",5
"492","WE9C",3,"Burning Bush","control",10,0,0,2,2,1,0,0,1,"Non-native",10
"493","MW1C",3,"Musclewood","control",6,0,0,1,0,2,0,0,0,"Native",6
"494","HS2B",3,"Honeysuckle","bag",12,0,0,2,1,8,0,0,4,"Non-native",12
"495","WH3B",3,"Witch-hazel","bag",5,0,3,3,1,0,0,0,0,"Native",5
"496","AO1B",3,"Autumn Olive","bag",10,1,0,2,6,5,0,0,1,"Non-native",10
"497","BY7C",3,"Barberry","control",6,0,0,1,0,1,0,0,0,"Non-native",6
"498","AB9C",3,"Beech","control",12,0,1,2,0,1,0,0,0,"Native",12
"499","AB1B",3,"Beech","bag",3,2,0,4,0,5,0,0,1,"Native",3
"500","AB9B",3,"Beech","bag",15,1,1,3,1,3,0,0,1,"Native",15
"501","MW1B",3,"Musclewood","bag",12,1,0,4,1,2,0,0,0,"Native",12
"502","AO1C",3,"Autumn Olive","control",5,0,3,3,0,8,0,0,0,"Non-native",5
"503","HS1B",3,"Honeysuckle","bag",2,0,0,3,1,4,0,0,0,"Non-native",2
"504","WE1B",3,"Burning Bush","bag",10,0,0,4,3,4,1,0,0,"Non-native",10
"505","BC4B",3,"Shadbush","bag",11,0,1,7,2,10,0,0,0,"Native",11
"506","MW2C",3,"Musclewood","control",6,1,0,2,0,6,0,0,0,"Native",6
"507","SM4C",3,"Striped Maple","control",19,1,1,4,1,8,0,0,2,"Native",19
"508","HS4C",3,"Honeysuckle","control",12,0,2,2,1,4,1,0,1,"Non-native",12
"509","SM3C",3,"Striped Maple","control",0,0,0,2,1,3,0,0,1,"Native",0
"510","AB10B",3,"Beech","bag",2,0,1,3,0,0,1,0,0,"Native",2
"511","SM3B",3,"Striped Maple","bag",7,2,0,1,2,2,0,0,1,"Native",7
"512","HS4B",3,"Honeysuckle","bag",15,3,5,8,2,10,2,1,1,"Non-native",15
"513","AB10C",3,"Beech","control",5,0,3,5,1,3,0,0,1,"Native",5
"514","AO3B",3,"Autumn Olive","bag",7,1,1,8,0,1,1,0,1,"Non-native",7
"515","BB1B",3,"Sweet Birch","bag",27,1,1,1,2,8,0,0,0,"Native",27
"516","AB11C",3,"Beech","control",2,0,1,4,3,1,0,0,0,"Native",2
"517","AB11B",3,"Beech","bag",6,0,5,4,4,2,1,0,0,"Native",6
"518","WH1B",3,"Witch-hazel","bag",17,1,12,14,4,2,1,0,0,"Native",17
"519","BB2B",3,"Sweet Birch","bag",2,0,1,1,3,2,2,0,3,"Native",2
"520","BB2C",3,"Sweet Birch","control",2,1,1,4,4,6,6,0,1,"Native",2
"521","BB1C",3,"Sweet Birch","control",5,0,1,2,1,8,0,0,0,"Native",5
"522","HS3C",3,"Honeysuckle","control",3,1,0,0,6,3,0,0,3,"Non-native",3
"523","AO2B",3,"Autumn Olive","bag",8,0,1,0,0,5,0,0,0,"Non-native",8
"524","SM4B",3,"Striped Maple","bag",9,1,0,5,2,5,0,0,2,"Native",9
"525","WH1C",3,"Witch-hazel","control",7,0,2,1,1,1,0,0,0,"Native",7
"526","MW4B",3,"Musclewood","bag",8,1,2,7,1,4,4,0,0,"Native",8
"527","HS3B",3,"Honeysuckle","bag",13,1,2,0,1,6,0,0,3,"Non-native",13
"528","BY2C",3,"Barberry","control",6,0,2,0,0,2,0,0,0,"Non-native",6
"529","BY1C",3,"Barberry","control",9,2,0,1,2,11,0,0,0,"Non-native",9
"530","AO2C",3,"Autumn Olive","control",4,1,1,1,1,4,1,0,0,"Non-native",4
"531","WE8B",3,"Burning Bush","bag",6,2,1,1,0,3,0,0,1,"Non-native",6
"532","AO3C",3,"Autumn Olive","control",1,1,1,4,0,1,1,0,0,"Non-native",1
"533","WH2C",3,"Witch-hazel","control",2,0,3,1,5,3,0,0,0,"Native",2
"534","MW3B",3,"Musclewood","bag",5,1,4,2,0,2,9,0,0,"Native",5
"535","MW4C",3,"Musclewood","control",6,1,4,1,1,3,4,0,1,"Native",6
"536","WE7C",3,"Burning Bush","control",4,1,2,0,0,2,0,0,0,"Non-native",4
"537","WE7B",3,"Burning Bush","bag",5,1,1,0,1,3,0,0,1,"Non-native",5
"538","BY1B",3,"Barberry","bag",10,1,4,0,7,8,1,0,0,"Non-native",10
"539","BY2B",3,"Barberry","bag",5,0,1,0,1,2,0,0,0,"Non-native",5
"540","MW3C",3,"Musclewood","control",2,2,2,6,2,8,2,0,0,"Native",2
"541","WE8C",3,"Burning Bush","control",2,0,0,0,0,2,0,0,1,"Non-native",2
"542","WH2B",3,"Witch-hazel","bag",10,2,5,2,6,1,1,0,2,"Native",10
"543","SM5C",3,"Striped Maple","control",4,1,0,3,19,14,0,0,0,"Native",4
"544","BC1B",3,"Shadbush","bag",3,2,1,3,1,3,0,0,0,"Native",3
"545","SM6B",3,"Striped Maple","bag",15,0,1,7,1,3,0,0,0,"Native",15
"546","WH6B",3,"Witch-hazel","bag",12,1,0,3,0,2,1,0,0,"Native",12
"547","AO4C",3,"Autumn Olive","control",2,0,1,4,0,1,0,0,0,"Non-native",2
"548","MW5B",3,"Musclewood","bag",11,0,2,5,3,12,2,0,1,"Native",11
"549","WH5C",3,"Witch-hazel","control",10,0,1,3,1,2,1,0,0,"Native",10
"550","MW5C",3,"Musclewood","control",8,0,0,2,0,5,1,0,0,"Native",8
"551","BB4B",3,"Sweet Birch","bag",11,0,3,2,4,5,2,0,1,"Native",11
"552","BC1C",3,"Shadbush","control",1,0,0,5,0,9,0,0,0,"Native",1
"553","BC3B",3,"Shadbush","bag",6,1,0,2,1,2,0,0,0,"Native",6
"554","AB2C",3,"Beech","control",1,1,1,3,1,3,0,0,0,"Native",1
"555","BY5B",3,"Barberry","bag",8,0,0,1,0,11,0,0,0,"Non-native",8
"556","SM5B",3,"Striped Maple","bag",5,1,0,2,3,0,0,0,0,"Native",5
"557","MW6C",3,"Musclewood","control",7,0,0,4,3,6,2,0,1,"Native",7
"558","BB4C",3,"Sweet Birch","control",4,1,0,3,1,2,0,0,0,"Native",4
"559","BC3C",3,"Shadbush","control",4,2,0,1,1,3,0,0,0,"Native",4
"560","AB2B",3,"Beech","bag",8,1,12,5,5,4,0,0,2,"Native",8
"561","HS5B",3,"Honeysuckle","bag",8,2,0,1,4,37,0,0,20,"Non-native",8
"562","AB12C",3,"Beech","control",1,0,1,2,0,2,0,0,0,"Native",1
"563","HS5C",3,"Honeysuckle","control",15,0,1,3,1,2,0,0,2,"Non-native",15
"564","HS6B",3,"Honeysuckle","bag",9,0,0,0,0,4,0,0,2,"Non-native",9
"565","HS6C",3,"Honeysuckle","control",9,0,0,0,1,7,0,0,0,"Non-native",9
"566","WH5B",3,"Witch-hazel","bag",9,0,1,0,2,2,1,0,1,"Native",9
"567","BB3B",3,"Sweet Birch","bag",5,1,0,4,2,4,0,0,3,"Native",5
"568","BY4B",3,"Barberry","bag",4,1,1,2,0,1,0,0,1,"Non-native",4
"569","BY4C",3,"Barberry","control",6,3,1,2,0,6,0,0,0,"Non-native",6
"570","SM6C",3,"Striped Maple","control",3,1,0,4,1,2,0,0,0,"Native",3
"571","AB12B",3,"Beech","bag",7,2,0,3,1,0,0,0,0,"Native",7
"572","WE2B",3,"Burning Bush","bag",5,0,0,2,0,3,0,0,0,"Non-native",5
"573","WE3B",3,"Burning Bush","bag",1,0,0,0,0,1,0,0,2,"Non-native",1
"574","BB3C",3,"Sweet Birch","control",2,0,0,4,4,7,1,0,1,"Native",2
"575","AO4B",3,"Autumn Olive","bag",4,0,0,3,0,2,0,0,0,"Non-native",4
"576","AO5B",3,"Autumn Olive","bag",16,0,0,3,1,10,0,0,0,"Non-native",16
"577","WE3C",3,"Burning Bush","control",1,0,1,2,0,3,0,0,1,"Non-native",1
"578","BY5C",3,"Barberry","control",0,0,0,1,0,2,0,0,0,"Non-native",0
"579","WE2C",3,"Burning Bush","control",3,0,1,0,0,4,0,0,0,"Non-native",3
"580","AO5C",3,"Autumn Olive","control",2,1,1,1,0,8,1,0,1,"Non-native",2
"581","MW6B",3,"Musclewood","bag",9,0,0,8,0,10,0,0,0,"Native",9
"582","WH6C",3,"Witch-hazel","control",4,0,1,3,6,1,0,0,0,"Native",4
"583","WH7B",3,"Witch-hazel","bag",14,1,1,2,1,5,1,0,0,"Native",14
"584","AO6B",3,"Autumn Olive","bag",5,0,0,0,0,4,0,0,2,"Non-native",5
"585","WE5B",3,"Burning Bush","bag",5,0,3,2,1,2,0,0,1,"Non-native",5
"586","BY3C",3,"Barberry","control",8,0,2,0,1,5,1,0,0,"Non-native",8
"587","BY9C",3,"Barberry","control",7,2,1,0,0,0,0,0,1,"Non-native",7
"588","BY3B",3,"Barberry","bag",8,0,1,3,0,3,1,0,0,"Non-native",8
"589","AO7B",3,"Autumn Olive","bag",4,0,1,1,0,6,0,0,0,"Non-native",4
"590","AO7C",3,"Autumn Olive","control",3,1,0,3,0,4,0,0,1,"Non-native",3
"591","WE4C",3,"Burning Bush","control",1,0,0,0,0,2,0,0,1,"Non-native",1
"592","HS7C",3,"Honeysuckle","control",10,1,0,0,0,10,0,0,0,"Non-native",10
"593","MW7B",3,"Musclewood","bag",11,0,0,4,0,8,0,0,0,"Native",11
"594","HS7B",3,"Honeysuckle","bag",12,1,0,1,0,10,0,0,2,"Non-native",12
"595","WE4B",3,"Burning Bush","bag",4,0,0,0,0,5,0,0,2,"Non-native",4
"596","WE5C",3,"Burning Bush","control",1,0,0,2,1,1,1,0,0,"Non-native",1
"597","MW7C",3,"Musclewood","control",1,1,0,0,0,1,0,0,0,"Native",1
"598","HS8B",3,"Honeysuckle","bag",4,0,0,3,0,3,0,0,1,"Non-native",4
"599","HS8C",3,"Honeysuckle","control",12,0,2,4,0,1,0,0,3,"Non-native",12
"600","AO6C",3,"Autumn Olive","control",4,0,0,4,1,3,0,0,0,"Non-native",4
"601","BY9B",3,"Barberry","bag",5,0,0,1,0,3,0,0,1,"Non-native",5
"602","MW8C",3,"Musclewood","control",1,1,0,4,0,3,0,0,0,"Native",1
"603","WH7C",3,"Witch-hazel","control",6,0,0,4,5,5,0,0,0,"Native",6
"604","MW8B",3,"Musclewood","bag",0,0,1,2,1,2,1,0,0,"Native",0
"605","BB6B",3,"Sweet Birch","bag",18,2,0,1,0,7,0,0,3,"Native",18
"606","SM7B",3,"Striped Maple","bag",6,1,1,1,1,2,2,0,0,"Native",6
"607","SM7C",3,"Striped Maple","control",2,0,1,3,0,1,0,0,0,"Native",2
"608","SM8B",3,"Striped Maple","bag",10,2,1,0,3,1,0,0,2,"Native",10
"609","SM8C",3,"Striped Maple","control",1,0,2,0,3,6,0,0,1,"Native",1
"610","BB5B",3,"Sweet Birch","bag",7,1,2,5,0,1,4,0,0,"Native",7
"611","BB5C",3,"Sweet Birch","control",1,1,0,3,0,1,6,0,0,"Native",1
"612","AB3B",3,"Beech","bag",7,0,6,1,0,2,0,0,1,"Native",7
"613","WH8C",3,"Witch-hazel","control",5,1,3,8,4,2,2,0,0,"Native",5
"614","WH8B",3,"Witch-hazel","bag",7,2,0,1,1,1,0,0,0,"Native",7
"615","AB4C",3,"Beech","control",2,0,3,2,0,1,0,0,0,"Native",2
"616","AB4B",3,"Beech","bag",6,1,1,0,0,1,0,0,2,"Native",6
