"","branch_code","time_block","tree","treatment","date.x","bug_count","morphospecies","wet_mass_g","exo","X","arachnids","lepidoptera","diptera","coleoptera","hymenoptera","hemiptera","aquatics","gastropods","orthopterids","guild","date.y","gastropod_biomass","ï..tree_id","herbivore_reps","herbivore_average_n","herbivore_stdev_n","herbivore_average_c","herbivore_stdev_c","herbivore_average_ratio","spider_reps","spider_average_n","spider_stdev_n","spider_average_c","spider_stdev_c","spider_average_ratio"
"120","BY3C",1,"Barberry","control","31-May",17,13,0.0291,"Non-native",120,6,1,0,3,0,5,0,0,0,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","WH7C",1,"Witch-hazel","control","31-May",5,5,0.0182,"Native",121,1,0,0,3,0,1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","WH7B",1,"Witch-hazel","bag","31-May",25,15,0.0901,"Native",122,17,0,4,3,0,1,0,0,0,17,NA,0,"WH7",1,10.66047934,NA,48.63582308,NA,5.320414872,3,10.90091112,0.333530592,50.45344161,2.370230615,5.395691608
"123","BY3B",1,"Barberry","bag","31-May",13,8,0.0555,"Non-native",123,7,0,0,0,0,4,0,0,0,7,NA,0,"BY3",1,8.433306694,NA,36.07846069,NA,4.989029443,3,12.32877318,0.767308763,50.45762507,2.706328537,4.774579748
"124","HS8C",1,"Honeysuckle","control","31-May",14,11,0.3978,"Non-native",124,5,2,0,0,0,5,0,0,1,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","MW7B",1,"Musclewood","bag","31-May",28,21,0.1176,"Native",125,9,1,1,10,1,6,0,0,0,9,NA,0,"MW7",1,10.25612458,NA,51.56811503,NA,5.863594531,1,11.50023868,NA,49.70670615,NA,5.0405055
"126","WE4C",1,"Burning Bush","control","31-May",14,9,0.0276,"Non-native",126,2,0,0,3,0,7,1,0,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","WE4B",1,"Burning Bush","bag","31-May",29,15,0.2301,"Non-native",127,5,1,3,0,1,14,2,1,0,5,"31-May",0.0235,"WE4",3,9.719781772,0.118786231,54.00227782,1.953204435,6.4785356,1,10.72369277,NA,43.74117445,NA,4.756768746
"128","MW7C",1,"Musclewood","control","31-May",18,5,0.0256,"Native",128,2,0,1,0,0,15,0,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","HS7C",1,"Honeysuckle","control","31-May",10,6,0.0747,"Non-native",129,4,0,3,1,0,2,0,0,0,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","AO6B",1,"Autumn Olive","bag","31-May",20,11,0.1949,"Non-native",130,1,2,3,13,0,0,0,0,0,1,NA,0,"AO6",1,10.36634827,NA,46.22512436,NA,5.200178539,1,11.42747688,NA,51.01923752,NA,5.206544373
"131","AO7B",1,"Autumn Olive","bag","31-May",23,16,0.0475,"Non-native",131,4,1,1,9,0,3,4,2,1,4,"31-May",0.0039,"AO7",3,9.115643183,0.411650922,50.24268214,1.038871437,6.432649694,1,11.06946087,NA,50.07571793,NA,5.275537042
"132","BY9B",1,"Barberry","bag","31-May",34,15,0.0356,"Non-native",132,18,0,1,2,1,8,0,0,0,18,NA,0,"BY9",3,11.65518286,0.449382456,50.30922526,1.974111144,5.034019824,1,10.75164268,NA,48.24805253,NA,5.233243314
"133","HS8B",1,"Honeysuckle","bag","31-May",15,12,0.0788,"Non-native",133,7,0,0,2,2,2,1,1,0,7,"31-May",0.7809,"HS8",1,10.45524004,NA,52.16408388,NA,5.818399511,3,11.56634785,0.103361834,50.47454048,1.051000484,5.088754921
"134","AO6C",1,"Autumn Olive","control","31-May",6,5,0.0177,"Non-native",134,2,0,0,3,0,0,1,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","MW8C",1,"Musclewood","control","31-May",94,12,0.2698,"Native",135,1,0,0,2,3,83,3,0,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","WH8C",1,"Witch-hazel","control","31-May",14,9,0.3732,"Native",136,1,3,0,3,0,2,6,0,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","BB6C",1,"Sweet Birch","control","31-May",7,6,0.033,"Native",137,2,0,2,1,0,0,0,0,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","SM7B",1,"Striped Maple","bag","31-May",19,12,0.1556,"Native",138,6,1,3,2,1,1,3,0,2,6,NA,0,"SM7",3,9.969854739,0.495619206,47.17356051,0.950545061,5.524390768,3,11.53120462,0.412412937,51.03213117,0.724120708,5.166709612
"139","AB3B",1,"Beech","bag","31-May",14,12,0.2454,"Native",139,4,2,0,2,0,4,2,0,0,4,NA,0,"AB3",1,10.59820843,NA,52.21422577,NA,5.745427492,1,9.805076599,NA,55.21052551,NA,6.566543896
"140","SM7C",1,"Striped Maple","control","31-May",19,11,0.1204,"Native",140,1,1,1,5,0,3,8,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","BC8B",1,"Shadbush","bag","31-May",28,9,0.7552,"Native",141,0,5,0,10,0,10,0,0,3,0,NA,0,"BC8",1,8.188077081,NA,48.33218119,NA,6.883676212,1,11.28591954,NA,50.48322402,NA,5.216462555
"142","AB3C",1,"Beech","control","31-May",9,6,0.0358,"Native",142,1,0,1,1,0,5,2,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","BB5C",1,"Sweet Birch","control","31-May",7,7,0.0475,"Native",143,0,0,1,0,0,2,3,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","SM8C",1,"Striped Maple","control","31-May",10,8,0.0358,"Native",144,2,0,2,1,1,4,0,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","AB4B",1,"Beech","bag","31-May",8,7,0.0639,"Native",145,2,1,0,1,0,3,0,0,0,2,NA,0,"AB4",1,10.55478191,NA,51.06008911,NA,5.641547718,1,11.56688213,NA,52.59023666,NA,5.302183779
"146","BC2C",1,"Shadbush","control","31-May",6,5,0.041,"Native",146,0,2,0,1,2,1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","MW8B",1,"Musclewood","bag","31-May",33,11,0.1476,"Native",147,2,0,0,2,2,23,1,0,1,2,NA,0,"MW8",3,9.30999046,0.774452703,55.33111988,1.86126692,6.954151108,1,12.30037863,NA,55.09395733,NA,5.223377934
"148","BB5B",1,"Sweet Birch","bag","31-May",22,13,0.1734,"Native",148,4,1,1,5,1,3,7,0,0,4,NA,0,"BB5",1,11.23906803,NA,50.21375275,NA,5.21024735,1,10.74608231,NA,49.385952,NA,5.359437726
"149","BB6B",1,"Sweet Birch","bag","31-May",12,10,0.1515,"Native",149,2,1,1,1,1,4,1,0,1,2,NA,0,"BB6",3,11.32328447,0.523977598,51.20785904,0.362484422,5.282058633,1,9.9708395,NA,53.08624649,NA,6.208922735
"150","SM8B",1,"Striped Maple","bag","31-May",14,8,0.0695,"Native",150,1,0,0,3,1,5,3,0,0,1,NA,0,"SM8",1,11.47506607,NA,50.38230383,NA,5.120221977,1,12.67785102,NA,49.00792714,NA,4.508028484
"151","BC2B",1,"Shadbush","bag","31-May",18,13,0.085,"Native",151,3,2,0,1,1,5,1,0,2,3,NA,0,"BC2",1,10.14993572,NA,51.01353455,NA,5.861220839,1,12.0401222,NA,47.84340691,NA,4.634012116
"152","AB4C",1,"Beech","control","31-May",10,8,0.0282,"Native",152,1,1,2,1,0,3,1,0,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","BC8C",1,"Shadbush","control","31-May",9,8,0.0249,"Native",153,3,1,0,0,0,2,1,0,2,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","WH8B",1,"Witch-hazel","bag","31-May",10,9,0.1288,"Native",154,3,1,2,0,0,2,1,0,1,3,NA,0,"WH8",1,10.21721446,NA,54.59940196,NA,6.231912375,1,12.45674108,NA,61.26001374,NA,5.735068559
"155","HS9C",1,"Honeysuckle","control","2-Jun",16,13,0.08,"Non-native",155,3,0,1,1,2,4,1,0,2,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","MW9B",1,"Musclewood","bag","2-Jun",11,9,0.1203,"Native",156,6,0,1,2,1,0,1,0,0,6,NA,0,"MW9",1,10.78771864,NA,49.93747803,NA,5.398373843,1,11.27514646,NA,54.23145567,NA,5.609123878
"157","BY10B",1,"Barberry","bag","2-Jun",40,19,0.0958,"Non-native",157,15,0,1,4,1,12,2,0,0,15,NA,0,"BY10",1,11.33603187,NA,50.3522394,NA,5.179927651,1,10.90476952,NA,50.41606277,NA,5.391609097
"158","WE6B",1,"Burning Bush","bag","2-Jun",27,14,0.3037,"Non-native",158,13,2,0,1,0,8,0,0,0,13,NA,0,"WE6",1,9.589523971,NA,46.91178921,NA,5.704937748,1,10.49725372,NA,53.46981191,NA,5.940170677
"159","SM10B",1,"Striped Maple","bag","2-Jun",16,13,0.2149,"Native",159,6,1,1,2,1,2,1,0,0,6,NA,0,"SM10",3,9.953895508,0.389565804,46.14582126,2.294215935,5.405088602,1,13.64945667,NA,56.07576124,NA,4.790995639
"160","BB7B",1,"Sweet Birch","bag","2-Jun",17,10,0.397,"Native",160,5,2,0,1,0,4,0,1,1,5,"2-Jun",0.0076,"BB7",1,10.32292747,NA,48.53090668,NA,5.482535982,1,10.0398674,NA,46.62826157,NA,5.416106664
"161","WH9C",1,"Witch-hazel","control","2-Jun",16,9,0.2956,"Native",161,5,2,0,4,0,1,0,0,0,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","BY10C",1,"Barberry","control","2-Jun",17,8,0.1061,"Non-native",162,13,0,0,1,1,2,0,0,0,13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","BB7C",1,"Sweet Birch","control","2-Jun",17,6,0.0744,"Native",163,1,0,0,5,0,7,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","AO9B",1,"Autumn Olive","bag","2-Jun",25,17,0.1278,"Non-native",164,7,0,0,9,2,2,1,0,1,7,NA,0,"AO9",1,9.967563922,NA,50.38379381,NA,5.894782672,1,9.983958355,NA,52.24465882,NA,6.102462204
"165","AO10B",1,"Autumn Olive","bag","2-Jun",68,21,0.4437,"Non-native",165,15,3,1,14,27,3,0,0,0,15,NA,0,"AO10",5,10.71712049,0.464785912,48.43607798,2.477967284,5.270045417,1,10.76769365,NA,51.55764653,NA,5.583883584
"166","HS10B",1,"Honeysuckle","bag","2-Jun",21,16,0.0669,"Non-native",166,7,0,0,1,3,6,0,0,1,7,NA,0,"HS10",1,10.88356122,NA,48.6421725,NA,5.212041926,1,10.59625381,NA,49.9739141,NA,5.499927634
"167","SM10C",1,"Striped Maple","control","2-Jun",18,12,0.0232,"Native",167,7,0,1,0,2,5,0,0,0,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","BC9B",1,"Shadbush","bag","2-Jun",15,11,0.0197,"Native",168,5,0,1,1,0,5,1,0,0,5,NA,0,"BC9",1,9.84940199,NA,52.1139819,NA,6.170357918,1,12.50826215,NA,51.54798646,NA,4.805965984
"169","MW10B",1,"Musclewood","bag","2-Jun",35,12,0.7226,"Native",169,3,5,0,9,0,10,7,0,0,3,NA,0,"MW10",1,9.595095755,NA,46.3263895,NA,5.630475886,1,12.20111234,NA,57.77786429,NA,5.522402033
"170","WH10B",1,"Witch-hazel","bag","2-Jun",24,15,0.1762,"Native",170,13,2,1,5,0,0,1,0,0,13,NA,0,"WH10",1,10.85396638,NA,55.17893519,NA,5.928581646,3,12.64141302,2.141212456,53.80874081,1.925191152,5.046174487
"171","AB5B",1,"Beech","bag","2-Jun",20,11,0.2346,"Native",171,3,2,1,3,0,2,0,0,0,3,NA,0,"AB5",3,10.01070849,0.037761758,49.16367086,0.462575433,5.727427733,1,11.76576519,NA,50.5458374,NA,5.009924496
"172","BC9C",1,"Shadbush","control","2-Jun",20,7,0.0448,"Native",172,2,1,0,1,0,15,0,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","HS9B",1,"Honeysuckle","bag","2-Jun",35,16,0.0692,"Non-native",173,8,1,0,13,0,12,0,0,0,8,NA,0,"HS9",1,11.15005153,NA,48.47144112,NA,5.069615467,1,11.64430428,NA,52.92664186,NA,5.300621031
"174","AO9C",1,"Autumn Olive","control","2-Jun",142,10,0.0866,"Non-native",174,0,3,3,15,15,104,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","SM9B",1,"Striped Maple","bag","2-Jun",23,15,0.0872,"Native",175,8,0,2,7,1,3,1,0,0,8,NA,0,"SM9",1,9.260063135,NA,43.71447996,NA,5.505253609,3,11.24502158,0.593133412,51.22208731,2.666351308,5.312652425
"176","AB6B",1,"Beech","bag","2-Jun",26,14,0.0802,"Native",176,8,0,3,2,0,4,0,0,2,8,NA,0,"AB6",1,9.689842224,NA,50.98849106,NA,6.136509569,3,11.11184597,0.335354275,52.73701859,1.886750677,5.534490935
"177","WE10B",1,"Burning Bush","bag","2-Jun",11,9,0.0502,"Non-native",177,3,1,0,2,1,0,3,0,0,3,NA,0,"WE10",1,9.606898002,NA,46.70551248,NA,5.66958047,1,12.45849258,NA,60.02163937,NA,5.618343872
"178","WE6C",1,"Burning Bush","control","2-Jun",23,12,0.1741,"Non-native",178,16,2,0,2,0,1,0,0,0,16,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","WH9B",1,"Witch-hazel","bag","2-Jun",18,13,0.1301,"Native",179,6,0,0,4,1,1,0,0,2,6,NA,0,"WH9",3,8.86664823,0.171032916,50.05476694,1.105127299,6.583819868,1,12.02135324,NA,60.65200783,NA,5.883798419
"180","BY8C",1,"Barberry","control","2-Jun",14,10,0.0247,"Non-native",180,5,2,1,2,0,1,0,0,2,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","BB8B",1,"Sweet Birch","bag","2-Jun",7,7,0.0272,"Native",181,2,0,2,3,0,0,0,0,0,2,NA,0,"BB8",1,9.683575497,NA,53.46272578,NA,6.438449834,1,12.32142216,NA,50.72257534,NA,4.800720476
"182","BY8B",1,"Barberry","bag","2-Jun",62,17,0.1383,"Non-native",182,30,1,0,4,1,10,0,0,0,30,NA,0,"BY8",1,9.461839415,NA,51.8706546,NA,6.393109124,1,10.57869446,NA,51.72701634,NA,5.702316474
"183","BB8C",1,"Sweet Birch","control","2-Jun",8,7,0.0198,"Native",183,1,0,1,2,2,1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","AB5C",1,"Beech","control","2-Jun",7,6,0.0157,"Native",184,0,0,1,3,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","MW10C",1,"Musclewood","control","2-Jun",21,11,0.0964,"Native",185,2,1,0,13,0,4,1,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","BC10B",1,"Shadbush","bag","2-Jun",84,14,0.6508,"Native",186,8,1,13,1,3,58,0,0,0,8,NA,0,"BC10",1,11.1900261,NA,50.47915426,NA,5.260741139,3,10.52211379,0.153784644,51.25736537,0.423141557,5.681698853
"187","AO10C",1,"Autumn Olive","control","2-Jun",18,7,0.0036,"Non-native",187,1,0,2,1,2,3,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","MW9C",1,"Musclewood","control","2-Jun",14,12,0.0732,"Native",188,1,1,2,3,1,2,1,0,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","BC10C",1,"Shadbush","control","2-Jun",16,14,0.1183,"Native",189,4,1,1,2,1,3,0,0,2,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","HS10C",1,"Honeysuckle","control","2-Jun",26,11,0.0307,"Non-native",190,3,0,0,1,10,8,0,0,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","AB6C",1,"Beech","control","2-Jun",9,7,0.0592,"Native",191,1,1,0,5,0,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","SM9C",1,"Striped Maple","control","2-Jun",9,8,0.0169,"Native",192,1,0,0,1,1,2,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","WE10C",1,"Burning Bush","control","2-Jun",16,14,0.0368,"Non-native",193,6,0,2,2,0,1,1,0,1,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","WH10C",1,"Witch-hazel","control","2-Jun",NA,NA,NA,"Native",194,1,0,0,1,0,2,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","MW12B",1,"Musclewood","bag","4-Jun",26,14,0.085,"Native",195,5,0,0,7,0,10,4,0,0,5,NA,0,"MW12",1,9.739565834,NA,55.59243215,NA,6.656440262,1,11.99285545,NA,58.77764203,NA,5.715517015
"196","WE12B",1,"Burning Bush","bag","4-Jun",50,22,0.1046,"Non-native",196,33,2,0,2,2,7,1,0,0,33,NA,0,"WE12",1,10.54959429,NA,53.73479261,NA,5.939990911,3,10.94936486,0.43645941,52.35810464,1.563871814,5.577969545
"197","AO12C",1,"Autumn Olive","control","4-Jun",15,11,0.0932,"Non-native",197,6,0,0,4,2,3,0,0,0,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","BC11B",1,"Shadbush","bag","4-Jun",20,10,0.0744,"Native",198,3,0,1,1,4,9,0,0,1,3,NA,0,"BC11",1,9.845539344,NA,52.37220925,NA,6.203365124,1,12.34734993,NA,47.23819025,NA,4.461546835
"199","SM12C",1,"Striped Maple","control","4-Jun",17,7,0.06,"Native",199,2,2,0,0,11,1,0,0,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","HS12C",1,"Honeysuckle","control","4-Jun",13,6,0.0344,"Non-native",200,1,0,0,0,5,3,0,3,0,1,"4-Jun",1.1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","WE12C",1,"Burning Bush","control","4-Jun",16,11,0.0366,"Non-native",201,9,1,1,1,1,2,0,0,0,9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","HS11C",1,"Honeysuckle","control","4-Jun",46,14,0.0845,"Non-native",202,22,0,1,3,0,20,0,0,0,22,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","SM12B",1,"Striped Maple","bag","4-Jun",20,14,0.0835,"Native",203,6,1,2,3,0,5,0,0,1,6,NA,0,"SM12",1,9.905721771,NA,48.25505354,NA,5.68097186,1,10.32279971,NA,49.89262219,NA,5.636438727
"204","BB9B",1,"Sweet Birch","bag","4-Jun",14,14,0.1189,"Native",204,4,2,1,2,1,2,0,0,0,4,NA,0,"BB9",1,10.17850386,NA,49.15320881,NA,5.631627104,1,12.09633944,NA,49.39080551,NA,4.761656967
"205","AO11B",1,"Autumn Olive","bag","4-Jun",37,16,0.1762,"Non-native",205,25,0,1,3,1,3,3,0,1,25,NA,0,"AO11",1,10.9129126,NA,50.05502973,NA,5.349005055,5,10.62934217,0.611836425,54.37424385,2.117200695,5.971292147
"206","AO12B",1,"Autumn Olive","bag","4-Jun",35,11,0.1544,"Non-native",206,9,0,1,20,0,5,0,0,0,9,NA,0,"AO12",1,9.251453432,NA,43.80155496,NA,5.521353112,1,10.22963048,NA,54.75167915,NA,6.241708155
"207","HS12B",1,"Honeysuckle","bag","4-Jun",60,16,0.3697,"Non-native",207,8,1,0,1,7,9,0,33,0,8,"4-Jun",4.9999,"HS12",1,12.33904388,NA,63.82243898,NA,6.031951622,1,11.7104036,NA,53.57905941,NA,5.335672727
"208","WH11B",1,"Witch-hazel","bag","4-Jun",14,11,0.0786,"Native",208,9,0,0,3,1,0,0,0,1,9,NA,0,"WH11",1,10.22035984,NA,53.45915824,NA,6.099888424,1,11.92841989,NA,55.66336336,NA,5.441924193
"209","AB8C",1,"Beech","control","4-Jun",3,3,0.0023,"Native",209,1,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","AB7C",1,"Beech","control","4-Jun",3,3,0.0043,"Native",210,0,0,1,1,0,1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","MW12C",1,"Musclewood","control","4-Jun",32,15,0.1593,"Native",211,7,1,0,4,1,18,1,0,1,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","AB8B",1,"Beech","bag","4-Jun",11,10,0.1322,"Native",212,4,2,0,0,0,2,0,1,0,4,NA,0,"AB8",1,11.33856115,NA,48.86634858,NA,5.025946992,1,12.0214194,NA,49.22688384,NA,4.775430817
"213","BY12C",1,"Barberry","control","4-Jun",13,5,0.0217,"Non-native",213,11,0,0,0,0,0,0,1,0,11,"4-Jun",0.0226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","WE11B",1,"Burning Bush","bag","4-Jun",13,12,0.0516,"Non-native",214,7,1,0,0,1,2,1,1,0,7,"4-Jun",0.02,"WE11",3,12.27077415,0.378884261,48.80679746,0.792972067,4.639931138,1,12.20792942,NA,54.03767132,NA,5.162030633
"215","BB10B",1,"Sweet Birch","bag","4-Jun",12,10,0.3035,"Native",215,1,1,1,5,1,1,0,0,1,1,NA,0,"BB10",3,9.398879813,0.263286664,49.333563,1.073645005,6.126644877,3,11.07353892,0.22751166,51.74975376,0.500016081,5.451543401
"216","WE11C",1,"Burning Bush","control","4-Jun",41,16,0.1794,"Non-native",216,13,0,0,1,6,15,4,0,2,13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","MW11B",1,"Musclewood","bag","4-Jun",9,8,0.1203,"Native",217,4,1,0,0,2,0,2,0,1,4,NA,0,"MW11",1,12.00805167,NA,51.86102169,NA,5.036565452,3,11.8623939,0.901542786,54.65571704,3.993974982,5.373923525
"218","BC11C",1,"Shadbush","control","4-Jun",13,10,0.1737,"Native",218,2,0,0,5,1,4,0,0,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","AB7B",1,"Beech","bag","4-Jun",18,12,0.6563,"Native",219,8,3,0,2,1,4,0,0,0,8,NA,0,"AB7",1,8.26277256,NA,48.45877838,NA,6.839315285,1,12.72851753,NA,48.795681,NA,4.470638152
"220","WH11C",1,"Witch-hazel","control","4-Jun",8,7,0.0472,"Native",220,1,1,0,4,0,1,0,0,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","MW11C",1,"Musclewood","control","4-Jun",11,9,0.0813,"Native",221,1,2,0,3,1,2,2,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","SM11C",1,"Striped Maple","control","4-Jun",4,4,0.0273,"Native",222,0,0,0,2,1,1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","BB9C",1,"Sweet Birch","control","4-Jun",5,3,0.0095,"Native",223,0,0,0,0,0,2,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","BY11B",1,"Barberry","bag","4-Jun",34,15,0.0859,"Non-native",224,16,1,0,1,2,7,1,0,0,16,NA,0,"BY11",1,10.19174313,NA,54.20028799,NA,6.201818992,1,9.910125617,NA,52.56737146,NA,6.185902402
"225","BY12B",1,"Barberry","bag","4-Jun",17,9,0.1141,"Non-native",225,5,0,1,0,0,2,0,5,0,5,"4-Jun",0.1929,"BY12",1,10.69046249,NA,48.13520466,NA,5.250882384,3,12.01689113,0.110483123,49.64898162,0.767131081,4.818047612
"226","WH12C",1,"Witch-hazel","control","4-Jun",6,4,0.0318,"Native",226,1,2,0,1,0,0,0,0,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","BC12B",1,"Shadbush","bag","4-Jun",6,5,0.1903,"Native",227,3,2,0,0,0,0,0,0,0,3,NA,0,"BC12",3,9.791077516,0.309797185,51.0509963,1.199909814,6.082529375,1,10.48215606,NA,48.89212792,NA,5.439441118
"228","BB10C",1,"Sweet Birch","control","4-Jun",1,1,0.006,"Native",228,0,0,0,0,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","WH12B",1,"Witch-hazel","bag","4-Jun",11,9,0.4285,"Native",229,4,2,0,1,0,3,0,0,0,4,NA,0,"WH12",1,8.296560687,NA,49.03946832,NA,6.893084785,1,11.23712367,NA,49.65740084,NA,5.153411059
"230","SM11B",1,"Striped Maple","bag","4-Jun",14,11,0.0923,"Native",230,6,0,1,3,1,2,0,0,1,6,NA,0,"SM11",1,11.36277707,NA,49.94852125,NA,5.126301092,1,12.72837052,NA,49.91274347,NA,4.573035727
"231","AO11C",1,"Autumn Olive","control","4-Jun",8,8,0.0751,"Non-native",231,0,0,1,2,1,1,2,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","BC12C",1,"Shadbush","control","4-Jun",4,3,0.03,"Native",232,1,0,0,1,2,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","BY11C",1,"Barberry","control","4-Jun",13,10,0.059,"Non-native",233,8,0,0,0,1,0,2,0,0,8,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","HS11B",1,"Honeysuckle","bag","4-Jun",29,15,0.2265,"Non-native",234,13,2,0,4,1,7,0,0,0,13,NA,0,"HS11",3,9.091789381,0.818780465,57.48695626,2.230697272,7.398219225,1,12.94586212,NA,55.86474658,NA,5.032372929
"235","MW1B",2,"Musclewood","bag","7-Jun",24,13,0.0538,"Native",235,14,0,2,3,0,4,0,0,1,14,NA,0,"MW1",1,10.05731773,NA,51.27178192,NA,5.945141591,1,9.864388544,NA,49.7790778,NA,5.884948115
"236","BB11B",2,"Sweet Birch","bag","7-Jun",23,12,0.1383,"Native",236,16,0,0,4,1,2,0,0,0,16,NA,0,"BB11",1,10.51389437,NA,47.79775283,NA,5.301635081,1,10.61586038,NA,49.32879601,NA,5.418901777
"237","BB12B",2,"Sweet Birch","bag","7-Jun",25,14,0.0575,"Native",237,12,1,0,2,1,8,1,0,0,12,NA,0,"BB12",1,9.829208018,NA,48.20688904,NA,5.719479942,1,10.71794764,NA,52.58444569,NA,5.721522771
